question,answer,chapter,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,1,Keith Herber,You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"The Keeper runs the story, set the scene for the investigators, tells them what they can do and what the effect of their actions is",1,The Keeper is the game moderator and has the responsibility of preparing and running the scenario.,You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,"The following dices are needed: a percentile dice (called D100), a four-sided dice (called D4), a six-sided dice (called D6), an eight-sided dice (called D8), and a twenty-sided die (called D20)",1,Two or more players and a dice,You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,5,1,Two,You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,"In 'The Picture in the House', 'Herbert West—Reanimator', 'The Dunwich Horror' and 'The Thing on the Doorstep'",2,in 'The Curse of Yig' (1928),You are a helpful AI assistant.
What is the legacy of Lovecraft?,"Lovecraft has influenced many authors starting from the 40ies until today, including Gary Myers, Basil Copper, T.E.D. Klein, David Drake, Thomas Ligotti, W.H. Pugmire, Joseph S. Pulver Sr., Laird Barron and Stephen King. In addition, several Lovecraft's stories have been put into movies, such as Stuart Gordon’s 'Re-Animator' and 'Dragon'. Finally, several movie directors have been influenced by Lovecraft, including John Carpenter, Frank Darabont, Guillermo del Toro and Sam Raimi",2,"A devoted following of fans and writers of horror, science fiction, and fantasy.",You are a helpful AI assistant.
What are the steps to create an investigator?,"There are five steps to create an investigator, namely: generate characteristics, determine occupation, decide skills and allocate Skill Points, create a backstory, equip the investigator",3,"Step 1: Choose a Name, Step 2: Choose a Profession, Step 3: Determine the Investigator's APP, Step 4: Determine the Investigator's Credit Rating, Step 5: Determine the Investigator's Education, Step 6: Determine the Investigator's Occupation Skill Points, Step 7: Determine the Investigator's Credit Rating (Again), Step 8: Determine the Investigator's APP (Again), Step 9: Determine the Investigator's Sanity, Step 10: Determine the Investigator's Luck, Step 11: Determine the Investigator's Credit Rating (Again), Step 12: Determine the Investigator's APP (Again), Step 13: Determine the Investigator's Credit Rating (Again), Step 14: Determine the Investigator's APP (Again), Step 15: Determine the Investigator's Credit Rating (Again), Step 16: Determine the Investigator's APP (Again), Step 17: Determine the Investigator's Credit Rating (Again), Step 18: Determine the Investigator's APP (Again), Step 19: Determine the Investigator's Credit Rating (Again), Step 20: Determine the Investigator's APP (Again), Step 21: Determine the Investigator's",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"The player should add 4 improvement checks for EDU and deduct 40 points among STR, CON or DEX, and reduce APP by 20",3,Add 2D6 to the age in years.,You are a helpful AI assistant.
How can a player increase weapons skills?,A player can increase weapons skills by spending available Personal Interest or occupational skill points,3,By spending skill points to increase a weapons skill,You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",between 20% and 49%,4,1D10,You are a helpful AI assistant.
