question,answer,chapter,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,1,"The Necronomicon is a fictional grimoire (a book of magic spells and incantations) created by American author H.P. Lovecraft. However, the concept of the Necronomicon was first introduced in Lovecraft's short story ""The Hound"" (1924), but it gained popularity in his later works, particularly in ""The Call of Cthulhu"" (1928).

The Necronomicon is often attributed to the fictional Arab scholar Abdul Alhazred, who supposedly wrote it in the 8th century. However, the actual writing of the Necronomicon as a fictional book is attributed to Lovecraft himself.

In the Lovecraftian mythos, the Necronomicon is said to contain forbidden knowledge about the Old Ones, ancient deities that lurk in the shadows, waiting to reclaim the world. The book is often associated with the Cthulhu Mythos, a shared universe created by Lovecraft and other authors.

It's worth noting that the Necronomicon has been the subject of much speculation and controversy over the years, with some people believing it to be a real book or a genuine grimoire. However, there is no evidence to support this claim, and the Necron",You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"The Keeper runs the story, set the scene for the investigators, tells them what they can do and what the effect of their actions is",1,"In the Call of Cthulhu role-playing game, the Keeper (also known as the Game Master or Referee) is the person responsible for guiding the players through a horror-themed adventure set in the Cthulhu Mythos, created by H.P. Lovecraft. The Keeper's role is to create and narrate the game world, its inhabitants, and the mysteries that the players must unravel.

The Keeper's primary responsibilities include:

1. **World-building**: Creating the game world, its history, and the mythos that underlies it. This includes designing the setting, NPCs (non-player characters), and the overall atmosphere of the game.
2. **Storytelling**: Weaving a narrative that unfolds as the players make choices and take actions. The Keeper must balance the players' agency with the need to create a cohesive and engaging story.
3. **NPCs and monsters**: Creating and controlling NPCs, including cultists, monsters, and other adversaries that the players must face.
4. **Challenges and obstacles**: Designing challenges, puzzles, and obstacles that the players must overcome to progress through the story.
5. **Game mechanics**: Managing the game mechanics, including resolving combat, skill checks, and other game-related activities.
6. **Player",You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,"The following dices are needed: a percentile dice (called D100), a four-sided dice (called D4), a six-sided dice (called D6), an eight-sided dice (called D8), and a twenty-sided die (called D20)",1,"To play Call of Cthulhu, a tabletop role-playing game, you'll need a few dice. The primary dice used in Call of Cthulhu are:

1. **d100 (Percentile Die)**: This is the most distinctive die used in Call of Cthulhu. It's a 10-sided die with numbers 00-90 on its faces. The 00 is considered a 0, and the 100 is considered a 100. This die is used for resolving skill checks, combat, and other challenges in the game.

2. **d6 (Six-Sided Die)**: While not as central to the game as the d100, a standard six-sided die is sometimes used for certain tasks, such as determining damage or resolving minor conflicts.

3. **d4 (Four-Sided Die)**: Occasionally, a four-sided die is used for specific tasks, like determining the severity of injuries or the effects of certain spells.

Keep in mind that you can also use electronic dice rollers or online tools if you prefer a digital experience. However, the traditional dice are an integral part of the Call of Cthulhu experience and add to the game's atmosphere and tactile nature.",You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,5,1,"To play the game of dice, you need at least one die. However, most common versions of dice games require two dice.",You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,"In 'The Picture in the House', 'Herbert West—Reanimator', 'The Dunwich Horror' and 'The Thing on the Doorstep'",2,"The Miskatonic University is a fictional university in the works of H.P. Lovecraft. It is featured in several of his stories, but it is most prominently featured in the following works:

1. ""The Shadow Over Innsmouth"" (1931) - This novella features the university as a place where the protagonist, Robert Olmstead, is a professor.
2. ""The Whisperer in Darkness"" (1931) - This short story features the university as a place where the protagonist, Albert N. Wilmarth, is a professor.
3. ""The Call of Cthulhu"" (1928) - This short story mentions the university as a place where the protagonist, Francis Wayland Thurston, discovers a mysterious cult.
4. ""At the Mountains of Madness"" (1936) - This novella features the university as a place where the protagonist, William Dyer, is a professor.

The Miskatonic University is often depicted as a prestigious institution of higher learning in Lovecraft's works, and it is frequently associated with the study of the occult and the supernatural.",You are a helpful AI assistant.
What is the legacy of Lovecraft?,"Lovecraft has influenced many authors starting from the 40ies until today, including Gary Myers, Basil Copper, T.E.D. Klein, David Drake, Thomas Ligotti, W.H. Pugmire, Joseph S. Pulver Sr., Laird Barron and Stephen King. In addition, several Lovecraft's stories have been put into movies, such as Stuart Gordon’s 'Re-Animator' and 'Dragon'. Finally, several movie directors have been influenced by Lovecraft, including John Carpenter, Frank Darabont, Guillermo del Toro and Sam Raimi",2,"H.P. Lovecraft (1890-1937) was an American author known for his cosmic horror fiction, which has had a profound and lasting impact on popular culture. His legacy extends far beyond his own works, influencing various fields such as literature, art, music, film, and even gaming. Here are some key aspects of Lovecraft's legacy:

1. **Cosmic Horror**: Lovecraft's stories introduced the concept of cosmic horror, which explores the insignificance of humanity in an vast, uncaring universe. This theme has been adopted by many authors, filmmakers, and artists, creating a genre that continues to captivate audiences.
2. **Cthulhu Mythos**: Lovecraft created the Cthulhu Mythos, a shared universe of fictional stories, characters, and locations that have been expanded upon by other authors, artists, and creators. This shared universe has become a staple of horror and fantasy fiction.
3. **Influence on Literature**: Lovecraft's works have influenced many notable authors, including Stephen King, Clive Barker, Neil Gaiman, and China Miéville, among others. His style and themes have also inspired the works of authors like August Derleth, Robert E. Howard, and Ramsey Campbell.
4.",You are a helpful AI assistant.
What are the steps to create an investigator?,"There are five steps to create an investigator, namely: generate characteristics, determine occupation, decide skills and allocate Skill Points, create a backstory, equip the investigator",3,"Creating an investigator can be a complex process that involves several steps, which may vary depending on the context (e.g., law enforcement, private investigation, or academic research). Here's a general outline of the steps to create an investigator:

**Law Enforcement Investigator:**

1. **Meet the Basic Requirements**: Typically, law enforcement investigators must be U.S. citizens, have a high school diploma or equivalent, and be at least 21 years old.
2. **Get a Degree in a Relevant Field**: A bachelor's degree in a field like criminology, law enforcement, or a related field is often preferred.
3. **Gain Law Enforcement Experience**: Most investigators start their careers as police officers and work their way up to investigator roles.
4. **Complete Training and Certification**: Law enforcement investigators typically undergo specialized training in areas like forensic science, interviewing techniques, and evidence collection.
5. **Obtain a Specialized Certification**: Some investigators may obtain certifications like the Certified Law Enforcement Investigator (CLEI) or the Certified Forensic Interviewer (CFI).
6. **Develop Investigative Skills**: Investigators must develop skills like observation, interviewing, and analytical thinking.

**Private Investigator:**

1. **Meet the Basic Requirements**: Typically, private investigators must be",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"The player should add 4 improvement checks for EDU and deduct 40 points among STR, CON or DEX, and reduce APP by 20",3,"For a 70-year-old character, you may want to consider applying the following modifiers to reflect the effects of aging on their physical abilities:

**Physical Ability Modifiers:**

1. **Strength:** -2 to -4 (depending on the character's build and health)
   As people age, their muscle mass and bone density decrease, making them weaker.

2. **Dexterity:** -1 to -2
   Older adults may experience a decline in flexibility, balance, and reaction time.

3. **Speed:** -1 to -2
   Older adults may move more slowly due to decreased muscle mass and joint mobility.

4. **Endurance:** -1 to -2
   Older adults may tire more easily due to decreased cardiovascular health and reduced lung function.

**Sensory Modifiers:**

1. **Vision:** -1 to -2
   Older adults may experience age-related vision loss, such as presbyopia or cataracts.

2. **Hearing:** -1 to -2
   Older adults may experience age-related hearing loss.

**Other Modifiers:**

1. **Initiative:** -1
   Older adults may have a slower reaction time due to decreased reflexes and reaction speed.

2. **Perception:**",You are a helpful AI assistant.
How can a player increase weapons skills?,A player can increase weapons skills by spending available Personal Interest or occupational skill points,3,"In various games, increasing a player's weapon skills can be achieved through several methods, which may vary depending on the game. Here are some common ways to improve weapon skills:

1.  **Leveling Up**: As players progress through the game, they often gain experience points (XP) for completing quests, killing enemies, or achieving certain milestones. When they accumulate enough XP, they level up, which can increase their overall skill level, including their weapon skills.
2.  **Skill Trees or Perks**: Many games feature skill trees or perk systems that allow players to allocate points to specific skills or abilities. By investing points in the relevant skill tree or perk, players can improve their weapon skills, such as increasing damage output, accuracy, or critical hit chance.
3.  **Equipment Upgrades**: Upgrading equipment, such as guns, swords, or bows, can improve their effectiveness and increase the player's overall damage output. This can be achieved by collecting better equipment, crafting new gear, or purchasing upgrades from vendors.
4.  **Training or Practice**: Some games allow players to practice their skills through training exercises or mini-games. This can help improve their accuracy, speed, or technique, making them more effective with their chosen weapon.
5.  **",You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",between 20% and 49%,4,"In the World of Darkness, specifically in the Werewolf: The Apocalypse game, the skill range for an investigator at the Amateur level is 1-3.",You are a helpful AI assistant.
What is the hypnosis skill?,"It is the ability to induce another person in a trancelike state, which allows the person to relax and recall memories that were forgotten. The limits of the skill during the game are decided by the Keeper, for example if the player is able to use the skill on an unwilling target.",4,"Hypnosis is a state of focused attention, deep relaxation, and heightened suggestibility. It's a naturally occurring state that can be induced by a trained hypnotherapist or self-induced through various techniques. During hypnosis, a person's conscious mind is in a state of reduced critical thinking, making them more receptive to suggestions and ideas.

Characteristics of hypnosis include:

1. **Focused attention**: The person's attention is concentrated on a specific stimulus, such as a voice, object, or visualization.
2. **Deep relaxation**: The person's physical and mental state becomes more relaxed, often accompanied by a decrease in blood pressure, heart rate, and muscle tension.
3. **Heightened suggestibility**: The person becomes more open to suggestions, which can be used to change thoughts, behaviors, or emotions.
4. **Disconnection from the external environment**: The person may become less aware of their surroundings and less responsive to external stimuli.

Hypnosis is often used for various purposes, including:

1. **Therapy**: To address phobias, anxiety, depression, sleep disorders, and other mental health issues.
2. **Pain management**: To reduce chronic pain, manage symptoms of fibromyalgia, and alleviate discomfort during medical procedures.
",You are a helpful AI assistant.
Who decides the difficulty level of a skill roll?,The Keeper,5,"In various tabletop role-playing games (RPGs), the difficulty level of a skill roll is typically determined by the game master (GM) or the game's rules. Here are some common ways the difficulty level is decided:

1. **Game Master (GM) discretion**: The GM has the final say in determining the difficulty level of a skill check. They consider the situation, the character's abilities, and the stakes to decide how challenging the task should be.
2. **Game rules**: Some RPG systems, like Dungeons & Dragons (D&D), have a specific system for determining difficulty levels. For example, in D&D 5th edition, the DMG (Dungeon Master's Guide) provides a table for determining difficulty levels based on the DC (Difficulty Class) of the task.
3. **Task description**: The difficulty level can be implied by the task description. For example, if the task is to ""pick a lock on a heavily reinforced door,"" it's likely to be a more challenging task than ""pick a lock on a simple door.""
4. **Character's skills and abilities**: The character's relevant skills, abilities, and equipment can influence the difficulty level. For example, a character with expertise in Thieves' Tools might find it easier to",You are a helpful AI assistant.
What are the consequences of a successful Pushed Roll?,"The goal of the player are achieved as it would have been with the original role, without further consequences",5,"In tabletop role-playing games, particularly in systems like Fate Core, Fudge, and other similar mechanics, a ""Pushed Roll"" is a mechanic that allows a player to add additional stress or complications to their action, potentially leading to more interesting and dynamic outcomes.

The consequences of a successful Pushed Roll can vary depending on the specific game system and the context of the scene. However, here are some common consequences of a successful Pushed Roll:

1.  **Increased Success**: A Pushed Roll can amplify the success of the action, making it more effective or impressive. For example, if a character is trying to persuade someone, a successful Pushed Roll might not only convince the person but also make them a loyal ally.
2.  **Additional Benefits**: A Pushed Roll can grant additional benefits or advantages to the character. For instance, if a character is trying to hack a computer system, a successful Pushed Roll might not only grant access to the system but also reveal a hidden backdoor or vulnerability.
3.  **Complications and Consequences**: A Pushed Roll can introduce complications or consequences that add depth and realism to the scene. For example, if a character is trying to sneak past guards, a successful Pushed Roll might not only allow them",You are a helpful AI assistant.
